PPID,Friend1Name,Friend2Name,Friend3Name,Friend4Name,Friend5Name,Friend6Name,Friend1Strength,Friend2Strength,Friend3Strength,Friend4Strength,Friend5Strength,Friend6Strength,Study1Name,Study2Name,Study3Name,Study4Name,Study5Name,Study6Name,Study1Strength,Study2Strength,Study3Strength,Study4Strength,Study5Strength,Study6Strength,Support1Name,Support2Name,Support3Name,Support4Name,Support5Name,Support6Name,Support1Strength,Support2Strength,Support3Strength,Support4Strength,Support5Strength,Support6Strength
113,160,,,,,,3,NA,NA,NA,NA,NA,160,,,,,,1,NA,NA,NA,NA,NA,160,,,,,,3,NA,NA,NA,NA,NA
115,486,27,116,253,,,5,4,5,5,NA,NA,486,,,,,,1,NA,NA,NA,NA,NA,486,,,,,,2,NA,NA,NA,NA,NA
116,389,469,405,136,195,,4,3,5,5,5,NA,389,469,,,,,2,1,NA,NA,NA,NA,469,389,,,,,3,3,NA,NA,NA,NA
118,397,123,337,352,234,,5,3,2,2,3,NA,,,,,,,NA,NA,NA,NA,NA,NA,397,,,,,,2,NA,NA,NA,NA,NA
120,10,252,134,275,,,5,3,1,4,NA,NA,275,,,,,,2,NA,NA,NA,NA,NA,10,252,275,,,,3,2,3,NA,NA,NA
122,209,338,419,108,467,110,5,3,3,4,3,3,209,,,,,,2,NA,NA,NA,NA,NA,209,,,,,,3,NA,NA,NA,NA,NA
123,337,27,442,61,,,5,4,3,3,NA,NA,337,27,61,,,,2,2,1,NA,NA,NA,337,,,,,,3,NA,NA,NA,NA,NA
128,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA
133,348,183,,,,,4,3,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA,348,183,,,,,2,2,NA,NA,NA,NA
134,252,,,,,,5,NA,NA,NA,NA,NA,252,,,,,,2,NA,NA,NA,NA,NA,252,,,,,,3,NA,NA,NA,NA,NA
135,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA
136,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA
140,555,75,159,77,505,,5,5,4,3,3,NA,,,,,,,NA,NA,NA,NA,NA,NA,555,,,,,,1,NA,NA,NA,NA,NA
144,475,390,92,,,,3,3,3,NA,NA,NA,475,390,,,,,2,2,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA
145,205,509,,,,,5,3,NA,NA,NA,NA,205,509,,,,,3,2,NA,NA,NA,NA,205,509,,,,,3,2,NA,NA,NA,NA
146,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA
147,141,26,440,38,361,233,3,3,3,2,3,3,141,38,342,,,,3,2,2,NA,NA,NA,141,,,,,,2,NA,NA,NA,NA,NA
148,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA
149,55,468,327,209,108,,4,4,4,4,4,NA,55,,,,,,1,NA,NA,NA,NA,NA,55,,,,,,2,NA,NA,NA,NA,NA
151,259,344,90,295,139,,5,4,2,2,3,NA,340,259,344,139,295,90,1,2,2,2,1,2,,,,,,,NA,NA,NA,NA,NA,NA
154,361,233,,,,,5,2,NA,NA,NA,NA,361,233,,,,,2,1,NA,NA,NA,NA,361,,,,,,4,NA,NA,NA,NA,NA
155,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA
157,473,19,191,132,49,198,5,5,5,3,3,3,473,19,191,,,,1,1,1,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA
165,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA
168,33,427,24,375,475,,4,3,2,2,2,NA,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA
169,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA
170,218,288,309,,,,5,4,4,NA,NA,NA,288,,,,,,3,NA,NA,NA,NA,NA,288,,,,,,3,NA,NA,NA,NA,NA
173,177,,,,,,1,NA,NA,NA,NA,NA,177,,,,,,1,NA,NA,NA,NA,NA,177,,,,,,3,NA,NA,NA,NA,NA
174,504,474,172,176,,,4,5,3,3,NA,NA,474,504,,,,,2,2,NA,NA,NA,NA,474,,,,,,4,NA,NA,NA,NA,NA
179,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA,NA,,,,,,NA,NA,NA,NA,NA,NA
180,30,29,352,237,87,,2,2,2,1,1,NA,29,,,,,,2,NA,NA,NA,NA,NA,30,,,,,,1,NA,NA,NA,NA,NA
181,77,505,350,452,,,4,4,4,4,NA,NA,77,505,350,,,,2,2,2,NA,NA,NA,350,452,,,,,3,3,NA,NA,NA,NA
184,186,41,504,172,,,5,4,5,3,NA,NA,186,41,,,,,3,3,NA,NA,NA,NA,186,41,,,,,4,4,NA,NA,NA,NA
185,490,,,,,,3,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA,490,471,343,,,,3,2,1,NA,NA,NA
186,41,184,533,504,,,4,5,3,3,NA,NA,41,184,,,,,2,3,NA,NA,NA,NA,184,,,,,,4,NA,NA,NA,NA,NA
191,292,533,456,534,,,5,5,5,5,NA,NA,534,,,,,,1,NA,NA,NA,NA,NA,534,292,456,533,,,3,3,3,2,NA,NA
192,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA
196,222,526,,,,,5,5,NA,NA,NA,NA,222,526,,,,,3,1,NA,NA,NA,NA,526,222,,,,,4,4,NA,NA,NA,NA
197,255,394,348,,,,5,4,3,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA,255,,,,,,3,NA,NA,NA,NA,NA
198,49,352,,,,,4,3,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA
202,259,530,,,,,3,2,NA,NA,NA,NA,259,530,,,,,2,1,NA,NA,NA,NA,259,,,,,,2,NA,NA,NA,NA,NA
203,370,368,245,,,,4,1,1,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA,370,,,,,,2,NA,NA,NA,NA,NA
205,145,105,72,325,509,,5,5,5,4,4,NA,145,,,,,,3,NA,NA,NA,NA,NA,145,,,,,,4,NA,NA,NA,NA,NA
206,249,161,53,77,295,181,2,4,4,3,3,3,181,161,53,77,295,,1,1,1,1,1,NA,53,161,,,,,1,1,NA,NA,NA,NA
209,122,338,108,149,55,180,4,3,2,2,2,1,122,338,,,,,3,1,NA,NA,NA,NA,122,338,,,,,4,3,NA,NA,NA,NA
214,442,473,67,487,,,5,3,2,2,NA,NA,442,473,,,,,2,2,NA,NA,NA,NA,442,,,,,,1,NA,NA,NA,NA,NA
215,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA
217,177,67,511,468,252,479,5,5,4,3,4,4,177,511,479,468,67,252,2,2,2,1,1,1,177,511,67,300,289,36,4,2,3,1,2,3
218,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA
219,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA
220,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA
222,196,98,112,46,526,308,5,3,3,4,4,4,196,308,,,,,2,2,NA,NA,NA,NA,196,,,,,,3,NA,NA,NA,NA,NA
223,47,263,67,,,,2,1,1,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA
225,404,382,,,,,4,4,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA,404,382,,,,,4,3,NA,NA,NA,NA
227,456,501,519,,,,4,3,3,NA,NA,NA,456,501,519,520,,,2,2,2,2,NA,NA,456,501,519,,,,3,3,2,NA,NA,NA
228,249,206,53,490,,,1,1,1,1,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA
229,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA
231,367,379,78,,,,4,5,3,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA,367,379,,,,,3,2,NA,NA,NA,NA
234,372,286,118,397,492,66,3,4,3,3,5,5,261,,,,,,1,NA,NA,NA,NA,NA,492,66,,,,,3,1,NA,NA,NA,NA
235,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA
237,506,39,,,,,4,3,NA,NA,NA,NA,506,39,,,,,1,1,NA,NA,NA,NA,506,,,,,,1,NA,NA,NA,NA,NA
242,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA
246,268,,,,,,4,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA
247,309,288,36,222,516,172,NA,5,5,3,3,2,309,288,,,,,2,1,NA,NA,NA,NA,309,288,36,,,,4,3,3,NA,NA,NA
250,388,,,,,,5,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA
251,182,500,457,,,,5,5,5,NA,NA,NA,500,457,,,,,1,1,NA,NA,NA,NA,500,457,182,,,,3,2,2,NA,NA,NA
252,134,78,120,,,,5,4,4,NA,NA,NA,134,,,,,,2,NA,NA,NA,NA,NA,134,,,,,,4,NA,NA,NA,NA,NA
255,197,348,87,,,,4,2,2,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA,197,,,,,,2,NA,NA,NA,NA,NA
256,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA
257,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA
260,39,,,,,,3,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA
261,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA
263,531,396,315,,,,2,3,2,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA
264,175,179,89,246,238,464,5,4,4,4,4,3,175,89,246,106,,,3,2,2,1,NA,NA,175,179,,,,,3,2,NA,NA,NA,NA
271,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA
274,442,,,,,,1,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA
275,519,120,,,,,5,3,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA,519,,,,,,3,NA,NA,NA,NA,NA
276,25,389,,,,,5,3,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA,25,,,,,,3,NA,NA,NA,NA,NA
278,467,45,,,,,4,4,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA,467,45,,,,,4,3,NA,NA,NA,NA
280,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA
281,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA
283,546,96,385,18,94,340,4,5,3,3,3,2,546,96,385,18,94,340,2,2,1,1,1,1,546,96,,,,,3,3,NA,NA,NA,NA
284,529,,,,,,3,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA,529,,,,,,2,NA,NA,NA,NA,NA
285,535,45,312,409,,,4,2,2,3,NA,NA,535,,,,,,1,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA
286,492,305,299,282,101,,5,5,2,3,3,NA,492,305,,,,,2,2,NA,NA,NA,NA,492,,,,,,4,NA,NA,NA,NA,NA
288,309,247,516,,,,5,5,5,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA
289,500,457,437,145,217,,5,4,3,3,2,NA,500,457,437,,,,2,2,2,NA,NA,NA,500,,,,,,4,NA,NA,NA,NA,NA
290,31,321,119,340,232,,3,4,4,2,3,NA,31,321,119,340,232,,2,2,2,1,1,NA,31,321,119,,,,3,3,3,NA,NA,NA
291,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA
292,435,,,,,,3,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA
294,69,532,507,529,,,4,3,4,3,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA,69,,,,,,2,NA,NA,NA,NA,NA
299,286,,,,,,3,NA,NA,NA,NA,NA,478,,,,,,2,NA,NA,NA,NA,NA,362,,,,,,2,NA,NA,NA,NA,NA
300,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA
301,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA
303,381,,,,,,1,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA
304,126,328,334,452,233,,4,4,4,3,3,NA,,,,,,,NA,NA,NA,NA,NA,NA,334,126,,,,,2,2,NA,NA,NA,NA
306,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA
307,493,278,167,394,,,5,4,2,4,NA,NA,493,,,,,,2,NA,NA,NA,NA,NA,493,,,,,,3,NA,NA,NA,NA,NA
308,222,196,230,516,98,,4,4,3,2,2,NA,,,,,,,NA,NA,NA,NA,NA,NA,222,,,,,,2,NA,NA,NA,NA,NA
309,247,288,,,,,5,5,NA,NA,NA,NA,288,458,,,,,1,2,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA
313,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA
315,263,442,,,,,2,2,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA
317,461,417,169,,,,4,4,3,NA,NA,NA,126,461,417,,,,2,2,2,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA
320,196,,,332,480,,1,NA,NA,1,1,NA,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA
324,298,,,,,,3,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA
326,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA
327,108,149,,,,,3,2,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA
328,126,304,452,,,,4,3,3,NA,NA,NA,126,,,,,,2,NA,NA,NA,NA,NA,126,304,,,,,3,2,NA,NA,NA,NA
329,453,479,236,419,,,2,4,2,1,NA,NA,479,,,,,,1,NA,NA,NA,NA,NA,479,,,,,,2,NA,NA,NA,NA,NA
330,488,,,,,,5,NA,NA,NA,NA,NA,488,,,,,,2,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA
331,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA
333,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA
334,336,233,461,199,259,126,3,3,2,2,1,1,336,233,,,,,2,2,NA,NA,NA,NA,336,,,,,,1,NA,NA,NA,NA,NA
342,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA
343,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA
346,516,,,,,,3,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA,516,,,,,,2,NA,NA,NA,NA,NA
347,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA
350,181,,,,,,4,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA,181,,,,,,3,NA,NA,NA,NA,NA
352,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA
354,129,286,212,,,,5,5,5,NA,NA,NA,129,286,212,,,,3,2,3,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA
356,520,40,,,,,2,3,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA
359,189,259,453,172,138,61,5,3,4,4,2,2,189,259,,,,,2,2,NA,NA,NA,NA,189,172,,,,,4,3,NA,NA,NA,NA
360,262,53,77,281,,,5,4,3,3,NA,NA,262,,,,,,3,NA,NA,NA,NA,NA,262,,,,,,4,NA,NA,NA,NA,NA
361,154,480,440,461,26,233,5,3,3,3,3,3,154,480,,,,,3,1,NA,NA,NA,NA,154,480,,,,,4,1,NA,NA,NA,NA
362,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA
363,138,,,,,,5,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA
365,378,244,468,166,534,345,4,5,3,4,2,3,166,,,,,,2,NA,NA,NA,NA,NA,244,,,,,,4,NA,NA,NA,NA,NA
366,27,286,238,,,,4,3,3,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA
367,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA
369,337,389,,,,,4,5,NA,NA,NA,NA,337,,,,,,1,NA,NA,NA,NA,NA,389,,,,,,3,NA,NA,NA,NA,NA
370,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA
371,225,388,,,,,3,4,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA
372,457,101,468,300,234,,4,3,5,3,2,NA,457,,,,,,1,NA,NA,NA,NA,NA,457,468,101,,,,3,3,1,NA,NA,NA
378,365,166,177,,,,4,4,2,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA,365,,,,,,2,NA,NA,NA,NA,NA
379,231,36,367,,,,5,1,2,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA,231,,,,,,3,NA,NA,NA,NA,NA
381,303,453,398,323,47,,3,2,1,1,1,NA,303,,,,,,1,NA,NA,NA,NA,NA,323,,,,,,4,NA,NA,NA,NA,NA
