"PPID","Intervention","Recitation","CompletedPreQ","CompletedPostQ","TookSpringClass"
334,"VAffirm","L",1,1,1
336,NA,"L",1,0,1
339,"VAffirm","M",1,0,1
342,"VAffirm","L",1,1,0
343,"Control","L",1,1,1
346,"VAffirm","N",1,1,1
347,"Control","O",1,1,1
350,"Control","L",1,1,1
351,"Control","G",1,0,0
352,"Control","I",1,1,1
353,"VAffirm","C",1,0,0
354,"VAffirm","A",1,1,1
356,"VAffirm","A",1,1,1
359,"Control","M",1,1,1
360,"VAffirm","H",1,1,1
361,"VAffirm","L",1,1,1
362,"VAffirm","I",1,1,1
363,"VAffirm","M",1,1,1
365,"Control","C",1,1,1
366,"Control","C",1,1,1
367,"Control","H",1,0,1
368,"Control","D",0,0,1
369,"Control","N",1,1,1
370,"Control","K",1,1,0
371,"VAffirm","B",1,1,1
372,"VAffirm","M",1,1,1
376,"Control","K",1,0,0
378,"VAffirm","F",1,1,1
379,"Control","D",1,1,1
381,"VAffirm","M",1,1,0
382,"Control","D",0,0,0
383,NA,"B",1,1,1
385,"VAffirm","L",1,1,1
387,NA,"A",1,1,1
388,"Control","G",1,1,1
390,NA,"L",1,1,1
391,"VAffirm","J",1,1,1
392,"VAffirm","M",1,1,1
394,"VAffirm","A",1,1,1
396,"Control","M",1,1,1
397,"VAffirm","H",1,1,1
398,"VAffirm","I",1,1,1
399,"VAffirm","O",1,1,1
402,"Control","F",1,0,0
403,"Control","L",1,1,1
404,"VAffirm","K",1,1,1
405,"VAffirm","P",1,0,1
406,NA,"L",1,0,0
409,"Control","I",1,1,1
410,"Control","J",1,0,1
412,"Control","L",1,0,1
413,"VAffirm","N",1,0,1
417,NA,"L",1,0,1
419,"VAffirm","C",1,0,1
421,"Control","E",1,1,1
423,"VAffirm","A",1,1,1
425,NA,"L",1,1,1
428,"VAffirm","J",1,1,1
429,"Control","E",1,1,1
433,"VAffirm","N",1,0,1
439,"Control","L",1,1,0
442,"VAffirm","K",1,1,0
443,"VAffirm","M",1,1,0
445,"VAffirm","H",1,0,1
447,"Control","G",1,1,0
448,"Control","J",1,0,1
449,"Control","O",1,0,1
450,"Control","A",1,1,1
451,"VAffirm","E",1,1,1
453,"VAffirm","N",1,0,1
454,"VAffirm","L",1,1,1
455,"VAffirm","C",1,1,1
456,"VAffirm","F",1,1,1
457,"Control","P",1,1,1
458,"VAffirm","D",0,0,1
459,"Control","N",1,0,1
460,"VAffirm","B",1,1,1
461,"VAffirm","L",1,1,1
462,"Control","E",1,1,0
463,"Control","D",1,1,0
465,"Control","K",1,1,1
466,"VAffirm","B",1,1,1
467,"VAffirm","C",1,1,1
468,"VAffirm","J",1,1,1
471,"VAffirm","L",1,0,1
472,"Control","N",1,1,1
473,"VAffirm","A",1,1,1
477,"VAffirm","G",1,1,1
479,"Control","D",1,0,1
481,"VAffirm","B",1,1,0
484,"Control","A",1,0,0
486,"VAffirm","G",1,1,1
487,NA,"L",1,0,1
488,"Control","F",1,1,0
490,NA,"L",1,1,1
491,"Control","L",1,1,1
492,"Control","C",0,0,1
493,"VAffirm","H",1,1,1
495,NA,"L",1,1,1
496,"Control","O",1,0,0
497,"Control","G",1,1,1
498,"Control","I",1,1,1
500,"VAffirm","E",1,1,1
504,"Control","A",1,1,0
506,"VAffirm","J",1,1,0
507,"Control","M",1,1,1
508,"Control","G",1,1,1
509,"VAffirm","H",1,1,1
510,"Control","C",1,1,0
511,"Control","I",1,1,1
515,NA,"L",1,1,0
516,"VAffirm","D",1,1,1
519,"VAffirm","C",1,1,0
521,"Control","C",1,1,1
522,"Control","B",1,1,0
523,"Control","K",1,0,0
524,"VAffirm","A",1,1,0
525,"Control","E",1,1,1
530,"Control","F",1,1,0
533,"VAffirm","G",1,1,1
534,"Control","M",1,1,1
537,"VAffirm","N",1,1,1
538,NA,"F",1,0,0
539,NA,"L",1,0,1
540,"Control","M",1,0,0
543,"VAffirm","H",1,1,1
546,"Control","L",1,1,1
547,"VAffirm","L",1,0,1
548,"VAffirm","D",1,1,1
549,"Control","L",1,1,1
550,"VAffirm","F",1,1,1
552,"Control","B",1,0,1
