PPID,Friend1Name,Friend2Name,Friend3Name,Friend4Name,Friend5Name,Friend6Name,Friend1Strength,Friend2Strength,Friend3Strength,Friend4Strength,Friend5Strength,Friend6Strength,Study1Name,Study2Name,Study3Name,Study4Name,Study5Name,Study6Name,Study1Strength,Study2Strength,Study3Strength,Study4Strength,Study5Strength,Study6Strength,Support1Name,Support2Name,Support3Name,Support4Name,Support5Name,Support6Name,Support1Strength,Support2Strength,Support3Strength,Support4Strength,Support5Strength,Support6Strength
63,149,,,,,,2,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA,149,,,,,,3,NA,NA,NA,NA,NA
64,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA
67,300,526,,,,,5,4,NA,NA,NA,NA,300,,,,,,1,NA,NA,NA,NA,NA,300,,,,,,1,NA,NA,NA,NA,NA
69,470,399,429,294,,,3,4,4,5,NA,NA,294,,,,,,2,NA,NA,NA,NA,NA,294,399,,,,,1,1,NA,NA,NA,NA
71,30,,,,,,3,NA,NA,NA,NA,NA,30,,,,,,2,NA,NA,NA,NA,NA,30,,,,NA,NA,2,NA,NA,NA,NA,NA
74,344,1002,336,,,,3,4,3,NA,NA,NA,344,1002,,,,,2,2,NA,NA,NA,NA,344,1002,336,,,,4,4,4,NA,NA,NA
75,452,1001,77,140,,,4,4,4,4,NA,NA,452,1001,77,140,,,3,3,3,2,NA,NA,452,1001,77,140,,,4,4,4,4,NA,NA
77,505,281,75,452,181,262,5,3,3,3,3,2,505,75,452,181,281,,1,2,2,2,3,NA,505,75,181,452,281,,1,3,2,3,2,NA
78,231,98,410,252,134,,1,1,2,1,3,NA,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA
79,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA
80,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA
81,258,52,,,,,2,1,NA,NA,NA,NA,258,52,,,,,3,3,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA
83,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA
84,195,,,,,,1,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA,195,,,,,,4,NA,NA,NA,NA,NA
85,,,,,,,NA,NA,NA,NA,NA,NA,74,,,,,,3,NA,NA,NA,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA
88,244,516,345,506,288,170,4,3,3,3,3,3,244,516,170,,,,3,3,3,NA,NA,NA,244,,,,NA,NA,3,NA,NA,NA,NA,NA
90,37,48,,,,,3,3,NA,NA,NA,NA,37,,,,,,3,NA,NA,NA,NA,NA,37,,,,,,3,NA,NA,NA,NA,NA
92,475,144,210,101,52,,4,3,1,4,2,NA,144,475,,,,,2,2,NA,NA,NA,NA,475,101,144,52,,,1,1,2,2,NA,NA
93,349,,,,,,3,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA
94,546,178,296,283,96,18,4,3,5,3,3,3,546,178,296,283,,,1,2,2,2,NA,NA,546,283,178,296,,,1,2,2,2,NA,NA
95,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA
98,78,196,222,172,319,365,5,5,5,4,3,3,196,222,78,,,,2,2,2,NA,NA,NA,78,196,222,,,,2,3,2,NA,NA,NA
99,179,435,21,,,,3,2,4,NA,NA,NA,179,21,,,,,2,2,NA,NA,NA,NA,179,21,,,,,3,3,NA,NA,NA,NA
102,398,450,526,294,443,542,5,5,4,2,2,1,398,450,,,,,2,2,NA,NA,NA,NA,398,450,,,,,1,1,NA,NA,NA,NA
103,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
105,510,509,72,205,,,5,5,3,5,NA,NA,510,509,205,,,,1,1,1,NA,NA,NA,509,510,205,,,,1,1,1,NA,NA,NA
107,194,,,,,,2,NA,NA,NA,NA,NA,194,,,,,,3,NA,NA,NA,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA
108,122,352,209,66,,,5,5,5,4,NA,NA,209,352,122,,,,2,1,2,NA,NA,NA,122,209,,,,,3,3,NA,NA,NA,NA
109,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA
111,298,153,,,,,3,3,NA,NA,NA,NA,298,153,,,,,2,2,NA,NA,NA,NA,298,153,,,NA,NA,3,3,NA,NA,NA,NA
113,160,,,,,,1,NA,NA,NA,NA,NA,160,,,,,,2,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA
115,486,27,286,,,,5,4,3,NA,NA,NA,486,,,,,,1,NA,NA,NA,NA,NA,486,,,,,,3,NA,NA,NA,NA,NA
116,253,469,136,405,,,5,4,3,4,NA,NA,253,469,,,,,2,2,NA,NA,NA,NA,253,,,,,,2,NA,NA,NA,NA,NA
118,397,234,123,337,352,,5,3,4,4,2,NA,397,123,337,234,,,2,2,3,3,NA,NA,397,,,,,,1,NA,NA,NA,NA,NA
120,10,252,275,134,,,4,3,3,1,NA,NA,10,252,275,,,,1,2,1,NA,NA,NA,10,275,252,,NA,NA,2,2,3,NA,NA,NA
122,209,108,419,67,506,338,5,4,4,3,3,3,209,108,419,67,149,338,1,2,2,2,2,2,,,,,,,NA,NA,NA,NA,NA,NA
123,337,27,560,118,112,,5,4,3,3,3,NA,337,27,,,,,1,2,NA,NA,NA,NA,337,,,,,,2,NA,NA,NA,NA,NA
128,148,511,468,311,435,,5,4,3,4,4,NA,,,,,,,NA,NA,NA,NA,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA
129,96,293,298,,,,5,5,2,NA,NA,NA,293,96,,,,,2,3,NA,NA,NA,NA,293,96,,,,,2,2,NA,NA,NA,NA
133,183,297,348,449,,,3,3,4,3,NA,NA,183,,,,,,2,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA
134,252,10,120,78,,,5,3,1,3,NA,NA,252,10,,,,,2,3,NA,NA,NA,NA,252,10,,,,,2,3,NA,NA,NA,NA
135,148,1008,,,,,3,3,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA,148,,,,,,4,NA,NA,NA,NA,NA
136,405,253,116,195,359,,4,4,4,4,2,NA,405,253,116,195,,,2,2,2,2,NA,NA,253,405,195,116,,,2,3,3,3,NA,NA
140,159,1001,,,,,4,3,NA,NA,NA,NA,159,,,,,,2,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA
144,475,92,210,390,,,3,3,3,2,NA,NA,475,92,210,390,,,2,2,2,2,NA,NA,475,92,210,,,,3,3,3,NA,NA,NA
145,60,72,205,289,509,510,5,5,4,4,3,3,72,60,509,510,289,205,2,2,2,2,2,2,60,72,289,205,,,1,2,3,2,NA,NA
146,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
147,38,342,440,26,361,233,3,3,3,3,3,3,38,342,141,,,,2,2,2,NA,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA
148,285,512,135,128,213,,4,4,4,3,3,NA,135,128,,,,,3,3,NA,NA,NA,NA,128,135,,,NA,NA,3,3,NA,NA,NA,NA
149,55,209,468,122,108,,4,3,3,3,4,NA,55,209,468,,,,2,2,1,NA,NA,NA,55,468,209,108,,,2,2,3,3,NA,NA
151,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA
154,361,417,,,,,5,3,NA,NA,NA,NA,361,417,,,,,1,2,NA,NA,NA,NA,361,417,,,,,1,3,NA,NA,NA,NA
155,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA
157,49,19,191,8,473,112,4,4,4,3,3,2,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA
165,530,423,453,,,,5,4,5,NA,NA,NA,453,530,423,,,,2,1,3,NA,NA,NA,453,,,,,,2,NA,NA,NA,NA,NA
166,365,468,,,,,3,3,NA,NA,NA,NA,365,468,,,,,2,3,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA
168,33,24,475,375,,,3,2,2,2,NA,NA,33,475,,,,,2,2,NA,NA,NA,NA,33,,,,,,3,NA,NA,NA,NA,NA
169,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA
170,218,288,353,,,,5,5,5,NA,NA,NA,288,218,353,,,,2,1,3,NA,NA,NA,288,218,,,,,2,2,NA,NA,NA,NA
173,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA
174,504,474,176,172,,,3,5,3,3,NA,NA,474,504,172,176,,,1,1,1,2,NA,NA,474,,,,,,1,NA,NA,NA,NA,NA
177,511,378,479,217,,,5,5,4,5,NA,NA,378,,,,,,2,NA,NA,NA,NA,NA,511,,,,NA,NA,3,NA,NA,NA,NA,NA
179,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA
180,311,,,,,,1,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA
181,350,452,111,555,77,505,4,4,3,3,3,3,350,452,77,505,111,555,1,1,2,2,2,2,452,350,,,,,2,2,NA,NA,NA,NA
184,186,533,504,172,41,239,5,4,4,3,5,3,186,41,239,,,,1,2,2,NA,NA,NA,186,504,41,,NA,NA,1,2,2,NA,NA,NA
185,480,343,471,51,,,2,2,NA,2,NA,NA,480,51,,,,,2,2,NA,NA,NA,NA,480,,,,,,3,NA,NA,NA,NA,NA
186,184,331,41,239,504,533,5,2,3,5,3,4,184,41,239,,,,1,3,1,NA,NA,NA,184,239,,,NA,NA,1,1,NA,NA,NA,NA
189,359,529,117,222,259,,5,3,3,3,2,NA,359,529,,,,,1,2,NA,NA,NA,NA,359,529,,,,,1,3,NA,NA,NA,NA
191,280,292,66,533,,,3,4,3,4,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA
192,521,352,1007,,,,5,4,3,NA,NA,NA,521,352,,,,,1,2,NA,NA,NA,NA,521,352,,,NA,NA,3,3,NA,NA,NA,NA
194,107,10010,,,,,4,3,NA,NA,NA,NA,107,,,,,,2,NA,NA,NA,NA,NA,107,,,,NA,NA,3,NA,NA,NA,NA,NA
195,405,136,253,116,,,4,4,4,4,NA,NA,405,136,116,253,,,3,2,2,2,NA,NA,405,136,116,253,NA,NA,1,2,2,1,NA,NA
196,222,252,46,308,245,,5,3,2,5,4,NA,222,308,252,,,,1,1,2,NA,NA,NA,222,308,,,,,2,2,NA,NA,NA,NA
197,255,394,348,,,,5,4,3,NA,NA,NA,255,,,,,,2,NA,NA,NA,NA,NA,255,,,,,,2,NA,NA,NA,NA,NA
198,49,352,138,396,,,5,4,2,2,NA,NA,49,352,,,,,2,2,NA,NA,NA,NA,49,,,,,,3,NA,NA,NA,NA,NA
199,322,547,82,210,342,38,4,3,4,3,4,4,322,547,82,38,342,210,2,2,2,1,1,1,210,322,547,342,,,2,2,3,2,NA,NA
202,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA
203,370,,,,,,5,NA,NA,NA,NA,NA,370,,,,,,1,NA,NA,NA,NA,NA,370,,,,,,1,NA,NA,NA,NA,NA
205,60,72,325,510,509,145,4,4,4,4,4,5,105,509,,,,,1,1,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA
206,161,53,249,9,228,517,NA,NA,NA,NA,NA,NA,53,9,161,249,,,2,2,2,2,NA,NA,53,228,249,161,9,,3,3,3,3,3,NA
207,208,,,,,,4,NA,NA,NA,NA,NA,208,,,,,,2,NA,NA,NA,NA,NA,208,,,,,,2,NA,NA,NA,NA,NA
208,207,408,152,355,121,89,4,4,4,4,4,3,408,152,355,175,89,207,2,2,2,2,2,3,152,408,355,207,,,3,3,3,3,3,NA
209,122,108,149,55,338,506,5,3,2,2,1,1,122,108,149,55,338,506,1,2,2,2,2,3,122,338,108,149,55,506,2,1,3,3,3,4
210,144,92,475,390,199,322,3,1,2,5,4,3,390,199,144,,,,1,1,2,NA,NA,NA,390,199,,,NA,NA,1,2,NA,NA,NA,NA
213,402,409,362,,,,2,2,1,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA
214,442,,,,,,4,NA,NA,NA,NA,NA,442,,,,,,1,NA,NA,NA,NA,NA,442,,,,,,3,NA,NA,NA,NA,NA
215,352,157,286,445,,,2,2,2,1,NA,NA,352,157,,,,,3,3,NA,NA,NA,NA,157,352,286,445,NA,NA,3,3,3,4,NA,NA
217,177,67,36,479,378,365,5,5,4,4,3,3,36,177,67,378,365,479,1,1,2,3,3,2,177,36,67,479,NA,NA,1,1,2,3,NA,NA
218,428,170,391,531,,,5,5,2,2,NA,NA,170,531,,,,,1,3,NA,NA,NA,NA,170,428,,,,,2,4,NA,NA,NA,NA
219,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA
220,,,,,,,NA,NA,NA,NA,NA,NA,486,47,,,,,1,1,NA,NA,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA
222,196,98,289,112,46,189,5,4,4,3,5,3,196,308,112,46,,,2,2,3,2,NA,NA,196,289,46,,,,2,2,2,NA,NA,NA
223,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA
225,404,382,11001,280,,,4,5,2,1,NA,NA,404,382,11001,,,,2,2,2,NA,NA,NA,404,382,11001,,,,1,2,3,NA,NA,NA
227,456,519,501,,,,5,5,5,NA,NA,NA,456,519,501,,,,1,1,1,NA,NA,NA,456,519,501,,,,2,1,3,NA,NA,NA
228,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA
229,556,147,,,,,4,3,NA,NA,NA,NA,556,,,,,,2,NA,NA,NA,NA,NA,556,,,,,,3,NA,NA,NA,NA,NA
231,367,379,78,271,,,4,4,3,2,NA,NA,367,379,78,,,,2,2,3,NA,NA,NA,367,379,,,NA,NA,2,2,NA,NA,NA,NA
233,336,334,26,361,480,440,4,3,3,3,3,3,336,334,480,342,38,461,1,2,3,3,3,3,336,,,,,,3,NA,NA,NA,NA,NA
234,397,118,217,,,,4,4,4,NA,NA,NA,397,118,,,,,1,2,NA,NA,NA,NA,397,118,,,,,2,2,NA,NA,NA,NA
235,262,207,,,,,4,2,NA,NA,NA,NA,262,,,,,,1,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA
237,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA
239,186,184,62,,,,5,2,2,NA,NA,NA,186,,,,,,3,NA,NA,NA,NA,NA,186,,,,NA,NA,1,NA,NA,NA,NA,NA
241,NA,,,,,,NA,NA,NA,NA,NA,NA,NA,,,,,,NA,NA,NA,NA,NA,NA,NA,,,,,,NA,NA,NA,NA,NA,NA
242,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA
243,418,53,249,390,,,2,2,2,2,NA,NA,53,418,,,,,3,3,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA
246,268,,,,,,4,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA,268,,,,,,3,NA,NA,NA,NA,NA
247,309,288,516,36,19,532,5,5,3,4,1,2,309,288,,,,,2,3,NA,NA,NA,NA,309,288,36,516,,,1,1,2,3,NA,NA
249,161,53,314,490,159,243,5,5,4,4,4,4,161,53,159,314,490,,2,2,3,3,3,NA,161,53,314,159,490,,3,3,3,3,3,NA
250,388,,,,,,4,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA
251,457,500,,,,,4,4,NA,NA,NA,NA,457,500,,,,,2,2,NA,NA,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA
252,134,10,288,120,196,309,5,5,3,4,3,2,134,120,10,,,,2,3,3,NA,NA,NA,134,,,,NA,NA,1,NA,NA,NA,NA,NA
253,116,359,405,136,195,,5,5,3,3,4,NA,116,359,,,,,2,2,NA,NA,NA,NA,359,,,,,,2,NA,NA,NA,NA,NA
255,197,,,,,,5,NA,NA,NA,NA,NA,197,,,,,,2,NA,NA,NA,NA,NA,197,,,,,,3,NA,NA,NA,NA,NA
256,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA
257,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA
260,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA
261,266,453,,,,,3,2,NA,NA,NA,NA,453,266,,,,,3,2,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA
262,360,,,,,,5,NA,NA,NA,NA,NA,360,,,,,,1,NA,NA,NA,NA,NA,360,,,,,,1,NA,NA,NA,NA,NA
263,66,142,531,,,,2,2,3,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA,531,,,,,,4,NA,NA,NA,NA,NA
264,179,238,408,355,404,507,5,4,3,3,4,5,179,106,507,238,404,,2,2,3,3,3,NA,179,507,,,,,3,3,NA,NA,NA,NA
266,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
268,175,21,246,187,464,,5,3,4,2,2,NA,,,,,,,NA,NA,NA,NA,NA,NA,175,246,,,,,2,3,NA,NA,NA,NA
271,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA
274,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA
275,120,227,456,519,,,4,3,3,5,NA,NA,519,,,,,,2,NA,NA,NA,NA,NA,519,,,,,,1,NA,NA,NA,NA,NA
276,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA
278,45,467,,,,,5,5,NA,NA,NA,NA,45,467,,,,,2,2,NA,NA,NA,NA,45,467,,,,,2,2,NA,NA,NA,NA
280,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA
281,77,14,546,360,494,94,4,3,4,4,2,4,77,94,546,,,,2,1,1,NA,NA,NA,546,94,,,,,2,2,NA,NA,NA,NA
283,546,96,340,1005,412,,5,5,3,3,3,NA,546,96,340,,,,2,2,2,NA,NA,NA,546,96,,,,,2,2,NA,NA,NA,NA
284,529,,,,,,4,NA,NA,NA,NA,NA,529,,,,,,3,NA,NA,NA,NA,NA,529,,,,NA,NA,3,NA,NA,NA,NA,NA
285,148,409,,,,,4,3,NA,NA,NA,NA,148,,,,,,2,NA,NA,NA,NA,NA,148,,,,,,2,NA,NA,NA,NA,NA
286,366,305,492,,,,4,5,5,NA,NA,NA,305,492,,,,,2,2,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA
288,309,516,534,,,,5,3,4,NA,NA,NA,309,534,,,,,2,3,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA
289,500,457,365,66,413,222,5,4,3,3,2,1,500,457,365,,,,1,1,1,NA,NA,NA,500,,,,,,1,NA,NA,NA,NA,NA
290,31,321,119,232,373,126,4,4,3,2,2,2,31,321,119,,,,2,2,3,NA,NA,NA,31,321,119,,NA,NA,2,2,3,NA,NA,NA
291,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA
292,533,191,378,110,,,5,4,3,3,NA,NA,533,191,378,,,,2,2,2,NA,NA,NA,533,191,,,,,1,2,NA,NA,NA,NA
293,323,129,,,,,4,3,NA,NA,NA,NA,129,,,,,,2,NA,NA,NA,NA,NA,323,129,,,NA,NA,2,1,NA,NA,NA,NA
294,69,507,3,,,,5,5,3,NA,NA,NA,69,507,,,,,1,1,NA,NA,NA,NA,69,507,,,,,1,2,NA,NA,NA,NA
299,1006,286,465,148,,,4,3,2,3,NA,NA,286,,,,,,2,NA,NA,NA,NA,NA,,,,,NA,NA,NA,NA,NA,NA,NA,NA
300,67,114,,,,,5,3,NA,NA,NA,NA,67,114,,,,,1,1,NA,NA,NA,NA,67,,,,,,1,NA,NA,NA,NA,NA
301,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA
303,202,,,,,,1,NA,NA,NA,NA,NA,202,,,,,,3,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA
304,328,126,178,,,,4,4,3,NA,NA,NA,328,126,178,,,,2,2,2,NA,NA,NA,328,126,178,,NA,NA,3,3,4,NA,NA,NA
306,433,40,,,,,3,2,NA,NA,NA,NA,433,,,,,,3,NA,NA,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA
307,493,167,278,,,,5,1,4,NA,NA,NA,,,,,,,NA,NA,NA,NA,NA,NA,493,278,,,,,2,3,NA,NA,NA,NA
308,245,230,269,353,196,,4,3,3,2,5,NA,196,230,,,,,1,3,NA,NA,NA,NA,196,,,,NA,NA,2,NA,NA,NA,NA,NA
